,true sales,predicted sales,predicted sales round up 
0,6,2.3522136211395264,2
1,2,5.520503044128418,6
2,7,6.963560104370117,7
3,8,17.973600387573242,18
4,6,19.67414093017578,20
5,7,5.323351860046387,5
6,8,9.872082710266113,10
7,2,4.264245986938477,4
8,6,6.384320259094238,6
9,12,10.106169700622559,10
10,1,12.914265632629395,13
11,3,3.1913039684295654,3
12,11,16.219989776611328,16
13,1,5.327571868896484,5
14,6,5.043074607849121,5
15,5,4.102232933044434,4
16,8,6.244800567626953,6
17,18,6.0583295822143555,6
18,4,11.390483856201172,11
19,15,11.749338150024414,12
20,11,7.749398231506348,8
21,18,11.069713592529297,11
22,5,11.533760070800781,12
23,26,15.592903137207031,16
24,6,13.061519622802734,13
25,11,16.570295333862305,17
26,13,5.600968360900879,6
27,1,4.46873664855957,4
28,2,4.334855079650879,4
29,1,3.997847557067871,4
30,1,3.349937677383423,3
31,1,3.352760076522827,3
32,1,3.2023284435272217,3
33,2,5.237363815307617,5
34,2,3.4474287033081055,3
35,2,3.122117757797241,3
36,2,3.1852567195892334,3
37,1,3.871656894683838,4
38,1,3.405815839767456,3
39,2,3.2587759494781494,3
40,1,5.036749839782715,5
41,2,3.954667329788208,4
42,1,3.0618066787719727,3
43,2,3.2388391494750977,3
44,2,3.8984251022338867,4
45,1,3.651685953140259,4
46,1,3.619983673095703,4
47,1,3.7603423595428467,4
48,1,3.8630335330963135,4
49,1,4.175946235656738,4
50,1,5.325915336608887,5
51,1,3.800734043121338,4
52,1,3.2872111797332764,3
53,1,3.557335615158081,4
54,1,3.2998383045196533,3
55,1,4.762720108032227,5
56,1,3.2375385761260986,3
57,1,3.285573959350586,3
58,1,3.569962739944458,4
59,2,3.203519821166992,3
60,1,3.3438785076141357,3
61,1,3.9424471855163574,4
62,1,3.5928969383239746,4
63,1,3.6181507110595703,4
64,1,3.2739768028259277,3
65,1,2.6172897815704346,3
66,1,2.9302022457122803,3
67,1,2.8939075469970703,3
68,1,2.646533250808716,3
69,1,4.1363067626953125,4
70,1,2.803189992904663,3
71,1,2.719242811203003,3
72,1,4.064986228942871,4
73,1,3.145728349685669,3
74,1,3.0412163734436035,3
75,1,3.0741779804229736,3
76,1,3.1525447368621826,3
77,1,3.1146738529205322,3
78,1,3.2699897289276123,3
79,1,2.7631266117095947,3
80,1,3.0870249271392822,3
81,1,3.09965181350708,3
82,1,2.7993664741516113,3
83,1,2.811993360519409,3
84,1,2.9445810317993164,3
85,1,3.082117795944214,3
86,1,3.1073718070983887,3
87,1,4.312756538391113,4
88,1,2.8254551887512207,3
89,1,4.375890731811523,4
90,1,3.2638018131256104,3
91,1,3.2210140228271484,3
92,1,2.9635164737701416,3
93,1,2.9138436317443848,3
94,3,6.192506790161133,6
95,1,5.872709274291992,6
96,1,5.920744895935059,6
97,1,5.947635650634766,6
98,1,6.285801887512207,6
99,1,6.532584190368652,7
100,1,6.516596794128418,7
101,1,6.825296401977539,7
102,1,6.509373664855957,7
103,1,6.577130317687988,7
104,1,8.044317245483398,8
105,1,6.56627082824707,7
106,1,6.578897476196289,7
107,1,6.6269330978393555,7
108,1,6.783590316772461,7
109,1,6.666451454162598,7
110,1,5.9854326248168945,6
111,1,6.033468246459961,6
