,Price,Price10,True Sales,Pred Demand,Approx Pred Demand,New Pred Demand,Approx New Pred Demand,Elasticity
0,2651.69398,2916.8633780000005,6,5.358806781984359,5,4.77622789508909,5,-1.0871429230361989
1,2774.575,3052.0325000000003,5,7.2339635436915,7,6.624387617020112,7,-0.8426582785352561
2,2795.76,3075.3360000000007,6,6.936269081353424,7,6.3220387964446365,6,-0.8855341073200363
3,2795.76,3075.3360000000007,2,8.01662239644098,8,7.402392111532191,7,-0.7661958547298908
4,2795.76,3075.3360000000007,1,5.467568997619016,5,4.8533387127102285,5,-1.1234065544966485
5,2880.506,3168.5566,6,5.133705708852609,5,4.5008566727903325,5,-1.232733374199821
6,2965.25,3261.775,2,7.580745098361259,8,6.92927775054679,7,-0.8593711295678543
7,2772.4575,3049.70325,5,5.795452850969475,6,5.186342140421179,5,-1.0510148666750048
8,2824.009967,3106.4109637,7,7.153736493551129,7,6.5332996725737695,7,-0.867290571209415
9,2824.01,3106.4110000000005,7,8.67597166357562,9,8.055534835348137,8,-0.7151208559523842
10,2827.542475,3110.2967225000007,5,8.680300166532742,9,8.059087251257129,8,-0.7156583336492506
11,2711.02,2982.1220000000003,2,7.475571771330067,7,6.879958919370878,7,-0.7967455469338849
12,2828.341089,3111.1751979,10,6.502628002244918,7,5.881239630955645,6,-0.9555957546314342
13,2866.3833329999998,3153.0216663,7,10.398766852076621,10,9.769020575112078,10,-0.6055970731171679
14,2672.96798,2940.264778,11,9.2694398961833,9,8.682187097692921,9,-0.6335364434826108
15,2682.770938,2951.0480318000004,22,11.81912231300195,12,11.229715798282246,11,-0.498688903550233
16,2698.9114,2968.80254,8,18.545896704648037,19,17.952944119960662,18,-0.31972171210182926
17,2838.135,3121.9485000000004,3,6.074250038096818,6,5.4507099382099895,5,-1.0265301822876494
18,2965.25,3261.775,4,7.517915942647564,8,6.866448594833095,7,-0.8665531149647884
19,2781.636667,3059.8003337000005,7,7.255470972887819,7,6.644343593397398,7,-0.8422987036597301
20,2477.96995,2725.7669450000003,3,13.198597360476512,13,12.65418575562348,13,-0.4124768640062347
21,2816.94495,3098.6394450000003,3,5.500337056553352,6,4.881452424392198,5,-1.125175831586151
22,2668.645,2935.5095,5,9.982843821877033,10,9.396540784895887,9,-0.5873106375723166
23,2561.79,2817.969,24,8.805083060485142,9,8.242256136294053,8,-0.6392068312414972
24,2620.973767,2883.0711437,25,20.976356009125087,21,20.400526372946423,20,-0.2745136647796061
25,2660.1679999999997,2926.1848,6,20.087632653675787,20,19.503192019091543,20,-0.2909455009758446
26,2690.255,2959.2805000000003,3,8.041124974455208,8,7.450074206461069,7,-0.7350349234364221
27,2689.8299829999996,2958.8129813,7,7.630461770043978,8,7.039504378560342,7,-0.7744713351472962
28,2795.76,3075.3360000000007,6,9.078008635056669,9,8.463778350147884,8,-0.6766134618299481
29,2785.5928289999997,3064.1521119,8,10.55910056505077,11,9.947104014203578,10,-0.5795915542966029
30,2655.931535,2921.5246885000006,21,12.174273905252049,12,11.59076402477544,12,-0.4792974800943807
31,2696.514472,2966.1659192,19,17.58203106898638,18,16.989605090934894,17,-0.3369496821652705
32,2746.330017,3020.9630187000007,7,16.457577484925828,16,15.854206999334984,16,-0.3666216890933649
33,2792.9366670000004,3072.2303337000008,4,8.875694517511116,9,8.262084520693218,8,-0.6913374447569018
34,2846.6079999999997,3131.2688,6,8.175831796571615,8,7.550430173090473,8,-0.7649394447466399
35,2665.083289,2931.5916179000005,10,8.938453034885736,9,8.352932508120878,8,-0.6550580111341864
36,2637.899909,2901.6898999000005,12,12.362811473437574,12,11.783263152885763,12,-0.46878359489426386
37,2653.484962,2918.8334582,27,15.01757414212241,15,14.434601775320381,14,-0.38819343343001333
38,2668.6399,2935.5038900000004,2,22.807701346321064,23,22.221399429813225,22,-0.2570631330203782
39,2838.1401,3121.95411,2,7.090540671485454,7,6.466999451125318,6,-0.879398693625299
40,3249.99,3574.989,2,5.391794313205945,5,4.677769402752004,5,-1.3242806920603463
41,3249.99,3574.989,1,6.020109262848039,6,5.306084352394098,5,-1.1860663640449352
42,2705.720025,2976.2920275,5,6.335817887626609,6,5.741369443611687,6,-0.9382347386843882
43,2739.2633,3013.1896300000003,7,8.897522239580507,9,8.29570431629697,8,-0.6763882203141436
44,2787.9800179999997,3066.7780198,12,12.042409993533399,12,11.429888975714936,11,-0.5086365753593984
45,2838.135,3121.9485000000004,3,12.462611380456629,12,11.8390712805698,12,-0.5003286075859179
46,2541.524963,2795.6774593,9,7.614974304413103,8,7.056599621991764,7,-0.7332587873576198
47,2753.38798,3028.726778,6,10.31321725988401,10,9.708296135245334,10,-0.5865493855071554
48,2795.76,3075.3360000000007,6,8.7600021317918,9,8.145771846883015,8,-0.7011759536902632
49,2647.4525129999997,2912.1977643,9,9.48092320115055,9,8.899276167305556,9,-0.6134919791085403
50,2634.740918,2898.2150098,12,11.261265955709067,11,10.682411667528402,11,-0.5140223936254751
51,2756.051443,3031.6565873,8,13.88664785971367,14,13.281141570526774,13,-0.4360348842311478
52,2581.943077,2840.1373847,14,9.693954363699184,10,9.126699795422947,9,-0.5851632336958663
53,2581.943077,2840.1373847,1,14.436881946124679,14,13.869627377848442,14,-0.3929204175756983
54,2743.21995,3017.5419450000004,3,5.842333413244585,6,5.23964621139036,5,-1.0315864556581653
55,2965.25,3261.775,2,6.697560539473489,7,6.04609319165902,6,-0.9726934814174629
56,2626.27,2888.8970000000004,5,6.994378643718083,7,6.417385421714977,6,-0.8249384990349715
